u	v	kind	res_ohm
122	123	x	9.205319961e-03
122	143	y	3.113737108e-02
123	124	x	9.205319961e-03
123	144	y	3.113737108e-02
124	125	x	9.205319961e-03
124	145	y	3.113737108e-02
125	146	y	3.113737108e-02
126	127	x	9.205319961e-03
126	147	y	3.113737108e-02
127	128	x	9.205319961e-03
127	148	y	3.113737108e-02
128	129	x	9.205319961e-03
128	149	y	3.113737108e-02
129	130	x	9.205319961e-03
129	150	y	3.113737108e-02
130	131	x	9.205319961e-03
130	151	y	3.113737108e-02
131	132	x	9.205319961e-03
131	152	y	3.113737108e-02
132	133	x	9.205319961e-03
132	153	y	3.113737108e-02
133	134	x	9.205319961e-03
133	154	y	3.113737108e-02
134	135	x	9.205319961e-03
134	155	y	3.113737108e-02
135	136	x	9.205319961e-03
135	156	y	3.113737108e-02
136	137	x	9.205319961e-03
136	157	y	3.113737108e-02
137	138	x	9.205319961e-03
137	158	y	3.113737108e-02
138	139	x	9.205319961e-03
138	159	y	3.113737108e-02
139	140	x	9.205319961e-03
139	160	y	3.113737108e-02
140	141	x	9.205319961e-03
140	161	y	3.113737108e-02
141	142	x	9.205319961e-03
141	162	y	3.113737108e-02
142	143	x	9.205319961e-03
142	163	y	3.113737108e-02
143	144	x	9.205319961e-03
143	164	y	3.113737108e-02
144	145	x	9.205319961e-03
144	165	y	3.113737108e-02
145	146	x	9.205319961e-03
145	166	y	3.113737108e-02
146	167	y	3.113737108e-02
147	148	x	9.205319961e-03
147	168	y	3.113737108e-02
148	149	x	9.205319961e-03
148	169	y	3.113737108e-02
149	150	x	9.205319961e-03
149	170	y	3.113737108e-02
150	151	x	9.205319961e-03
150	171	y	3.113737108e-02
151	152	x	9.205319961e-03
151	172	y	3.113737108e-02
152	153	x	9.205319961e-03
152	173	y	3.113737108e-02
153	154	x	9.205319961e-03
153	174	y	3.113737108e-02
154	155	x	9.205319961e-03
154	175	y	3.113737108e-02
155	156	x	9.205319961e-03
155	176	y	3.113737108e-02
156	157	x	9.205319961e-03
156	177	y	3.113737108e-02
157	158	x	9.205319961e-03
157	178	y	3.113737108e-02
158	159	x	9.205319961e-03
158	179	y	3.113737108e-02
159	160	x	9.205319961e-03
159	180	y	3.113737108e-02
160	161	x	9.205319961e-03
160	181	y	3.113737108e-02
161	162	x	9.205319961e-03
161	182	y	3.113737108e-02
162	163	x	9.205319961e-03
162	183	y	3.113737108e-02
163	164	x	9.205319961e-03
163	184	y	3.113737108e-02
164	165	x	9.205319961e-03
164	185	y	3.113737108e-02
165	166	x	9.205319961e-03
165	186	y	3.113737108e-02
166	167	x	9.205319961e-03
166	187	y	3.113737108e-02
167	188	y	3.113737108e-02
168	169	x	9.205319961e-03
168	189	y	3.113737108e-02
169	170	x	9.205319961e-03
169	190	y	3.113737108e-02
170	171	x	9.205319961e-03
170	191	y	3.113737108e-02
171	172	x	9.205319961e-03
171	192	y	3.113737108e-02
172	173	x	9.205319961e-03
172	193	y	3.113737108e-02
173	174	x	9.205319961e-03
173	194	y	3.113737108e-02
174	175	x	9.205319961e-03
174	195	y	3.113737108e-02
175	176	x	9.205319961e-03
175	196	y	3.113737108e-02
176	177	x	9.205319961e-03
176	197	y	3.113737108e-02
177	178	x	9.205319961e-03
177	198	y	3.113737108e-02
178	179	x	9.205319961e-03
178	199	y	3.113737108e-02
179	180	x	9.205319961e-03
179	200	y	3.113737108e-02
180	181	x	9.205319961e-03
180	201	y	3.113737108e-02
181	182	x	9.205319961e-03
181	202	y	3.113737108e-02
182	183	x	9.205319961e-03
182	203	y	3.113737108e-02
183	184	x	9.205319961e-03
183	204	y	3.113737108e-02
184	185	x	9.205319961e-03
184	205	y	3.113737108e-02
185	186	x	9.205319961e-03
