x_idx	y_idx	drop_pct	voltage_v
16	8	0.155465916	0.998445341
17	8	0.158080168	0.998419198
18	8	0.159979860	0.998400201
19	8	0.161105449	0.998388946
20	8	0.161554112	0.998384459
0	7	0.245598497	0.997544015
1	7	0.245457766	0.997545422
2	7	0.240885734	0.997591143
3	7	0.232530762	0.997674692
4	7	0.220422609	0.997795774
5	7	0.204493967	0.997955060
6	7	0.184794501	0.998152055
7	7	0.158719807	0.998412802
8	7	0.129125241	0.998708748
9	7	0.096266477	0.999037335
10	7	0.060143842	0.999398562
11	7	0.082695450	0.999173046
12	7	0.103854155	0.998961458
13	7	0.121615139	0.998783849
14	7	0.135755603	0.998642444
15	7	0.145656828	0.998543432
16	7	0.150741872	0.998492581
17	7	0.153263380	0.998467366
18	7	0.155025658	0.998449743
19	7	0.156056954	0.998439430
20	7	0.156505356	0.998434946
0	6	0.213393118	0.997866069
1	6	0.212086764	0.997879132
2	6	0.208775229	0.997912248
3	6	0.201715927	0.997982841
4	6	0.191137743	0.998088623
5	6	0.176937471	0.998230625
6	6	0.158953981	0.998410460
7	6	0.136870623	0.998631294
8	6	0.110826192	0.998891738
9	6	0.079492723	0.999205073
10	6	0.041604544	0.999583955
11	6	0.071717196	0.999282828
12	6	0.095562424	0.999044376
13	6	0.113955398	0.998860446
14	6	0.128723295	0.998712767
15	6	0.139425704	0.998605743
16	6	0.146039884	0.998539601
17	6	0.149312108	0.998506879
18	6	0.150839479	0.998491605
19	6	0.151151956	0.998488480
20	6	0.151212570	0.998487874
0	5	0.183102975	0.998168970
1	5	0.182193969	0.998178060
2	5	0.179154452	0.998208455
3	5	0.173386147	0.998266139
4	5	0.164686712	0.998353133
5	5	0.152760041	0.998472400
6	5	0.137510329	0.998624897
7	5	0.118819235	0.998811808
8	5	0.096631658	0.999033683
9	5	0.069642286	0.999303577
10	5	0.036891910	0.999631081
11	5	0.066689125	0.999333109
12	5	0.090962285	0.999090377
13	5	0.109771136	0.998902289
14	5	0.124005907	0.998759941
15	5	0.134260891	0.998657391
16	5	0.140220843	0.998597792
17	5	0.143765430	0.998562346
18	5	0.145268731	0.998547313
19	5	0.145385057	0.998546149
20	5	0.144816310	0.998551837
0	4	0.155887742	0.998441123
1	4	0.155093533	0.998449065
2	4	0.152038939	0.998479611
3	4	0.147980444	0.998520196
4	4	0.141230460	0.998587695
5	4	0.131904031	0.998680960
6	4	0.119786085	0.998802139
7	4	0.104676049	0.998953240
8	4	0.086471096	0.999135289
9	4	0.064030847	0.999359692
10	4	0.035106193	0.999648938
11	4	0.065098866	0.999349011
12	4	0.089063264	0.999109367
13	4	0.107429380	0.998925706
14	4	0.120707056	0.998792929
15	4	0.130117322	0.998698827
16	4	0.135700490	0.998642995
17	4	0.138253192	0.998617468
18	4	0.138433256	0.998615667
19	4	0.137520357	0.998624796
20	4	0.136495373	0.998635046
0	3	0.131359222	0.998686408
1	3	0.130401965	0.998695980
2	3	0.128320174	0.998716798
3	3	0.125463440	0.998745366
4	3	0.121544232	0.998784558
5	3	0.115544442	0.998844556
6	3	0.107238621	0.998927614
7	3	0.096058018	0.999039420
8	3	0.082058920	0.999179411
9	3	0.062355961	0.999376440
10	3	0.035494919	0.999645051
11	3	0.065699955	0.999343000
12	3	0.088726542	0.999112735
13	3	0.106492124	0.998935079
14	3	0.118631504	0.998813685
15	3	0.126270523	0.998737295
16	3	0.129486724	0.998705133
17	3	0.128820635	0.998711794
18	3	0.127325512	0.998726745
19	3	0.125619170	0.998743808
20	3	0.124708766	0.998752912
0	2	0.110069196	0.998899308
1	2	0.109512119	0.998904879
2	2	0.107223805	0.998927762
3	2	0.105062465	0.998949375
4	2	0.101927064	0.998980729
5	2	0.098667315	0.999013327
6	2	0.093771786	0.999062282
7	2	0.086331341	0.999136687
8	2	0.076623854	0.999233761
9	2	0.061862456	0.999381375
10	2	0.043830479	0.999561695
11	2	0.066658819	0.999333412
12	2	0.086332534	0.999136675
13	2	0.101617249	0.998983828
14	2	0.112050472	0.998879495
15	2	0.117656055	0.998823439
16	2	0.118582887	0.998814171
17	2	0.115565885	0.998844341
18	2	0.112452595	0.998875474
19	2	0.111026685	0.998889733
20	2	0.109842117	0.998901579
0	1	0.090665200	0.999093348
1	1	0.089244807	0.999107552
2	1	0.085699490	0.999143005
3	1	0.082720005	0.999172800
4	1	0.082731212	0.999172688
5	1	0.083571827	0.999164282
6	1	0.081811801	0.999181882
7	1	0.077169678	0.999228303
8	1	0.069461952	0.999305380
9	1	0.054961741	0.999450383
10	1	0.032961767	0.999670382
11	1	0.060820305	0.999391797
12	1	0.081315578	0.999186844
13	1	0.095684576	0.999043154
14	1	0.104331244	0.998956688
15	1	0.107399125	0.998926009
16	1	0.105048730	0.998949513
17	1	0.098221032	0.999017790
18	1	0.091872066	0.999081279
19	1	0.091203106	0.999087969
20	1	0.090969220	0.999090308
0	0	0.076066242	0.999239338
1	0	0.071750235	0.999282498
2	0	0.062262166	0.999377378
3	0	0.045845274	0.999541547
4	0	0.060728815	0.999392712
5	0	0.069107644	0.999308924
6	0	0.072498021	0.999275020
7	0	0.071276583	0.999287234
8	0	0.066454308	0.999335457
9	0	0.055961285	0.999440387
10	0	0.041243515	0.999587565
11	0	0.062420559	0.999375794
12	0	0.079550897	0.999204491
13	0	0.091640190	0.999083598
14	0	0.098013844	0.999019862
15	0	0.098000084	0.999019999
16	0	0.090687546	0.999093125
17	0	0.074839156	0.999251608
18	0	0.052078132	0.999479219
19	0	0.065492307	0.999345077
20	0	0.071305547	0.999286945
