ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	ir_drop_V
15	12	820	658.8	0.0003697060668	0	0.0003697060668	1.096354779	0.003645221218
16	12	874	658.8	0.0002772523473	0	0.0002772523473	1.096911324	0.003088676021
17	12	928	658.8	0.0002772523473	0	0.0002772523473	1.097660224	0.002339775898
18	12	982	658.8	0.0002772523473	0	0.0002772523473	1.098619104	0.00138089639
19	12	1036	658.8	5.871931636e-05	0	5.871931636e-05	1.099811205	0.0001887954726
20	12	1090	658.8	7.440309376e-06	0	7.440309376e-06	1.09969245	0.0003075498633
0	13	10	712.7	0.0002325314166	0	0.0002325314166	1.091639395	0.008360605121
1	13	64	712.7	0.0004765588107	0	0.0004765588107	1.091744398	0.008255601992
2	13	118	712.7	0.0004765588107	0	0.0004765588107	1.092085454	0.00791454632
3	13	172	712.7	0.0004765588107	0	0.0004765588107	1.092662537	0.007337463144
4	13	226	712.7	0.0004765588107	0	0.0004765588107	1.093478268	0.006521731902
5	13	280	712.7	0.0004765588107	0	0.0004765588107	1.094542119	0.005457880908
6	13	334	712.7	0.0004765588107	0	0.0004765588107	1.095881003	0.004118996953
7	13	388	712.7	0.0002693901075	0	0.0002693901075	1.097572081	0.00242791864
8	13	442	712.7	0.0002619497981	0	0.0002619497981	1.099745776	0.0002542235661
9	13	496	712.7	0.0002693901075	0	0.0002693901075	1.098349746	0.00165025428
10	13	550	712.7	0.0001434868548	0	0.0001434868548	1.097461698	0.002538302152
11	13	604	712.7	0.0003697060668	0	0.0003697060668	1.096791914	0.003208085851
12	13	658	712.7	0.0003697060668	0	0.0003697060668	1.096388546	0.003611454405
13	13	712	712.7	0.0003697060668	0	0.0003697060668	1.096223123	0.003776876743
14	13	766	712.7	0.0003697060668	0	0.0003697060668	1.096282775	0.003717225221
15	13	820	712.7	0.0003697060668	0	0.0003697060668	1.096561272	0.003438728229
16	13	874	712.7	0.0002772523473	0	0.0002772523473	1.097057917	0.002942083388
17	13	928	712.7	0.0002772523473	0	0.0002772523473	1.097732342	0.002267658475
18	13	982	712.7	0.0002772523473	0	0.0002772523473	1.098616155	0.001383844748
