u	v	kind	res_ohm
304	332	y	8.437333742e-03
305	306	x	1.712489669e-03
305	333	y	8.437333742e-03
306	307	x	1.712489669e-03
306	334	y	8.437333742e-03
307	335	y	8.437333742e-03
308	309	x	1.712489669e-03
308	336	y	8.437333742e-03
309	310	x	1.712489669e-03
309	337	y	8.437333742e-03
310	311	x	1.712489669e-03
310	338	y	8.437333742e-03
311	312	x	1.712489669e-03
311	339	y	8.437333742e-03
312	313	x	1.712489669e-03
312	340	y	8.437333742e-03
313	314	x	1.712489669e-03
313	341	y	8.437333742e-03
314	315	x	1.712489669e-03
314	342	y	8.437333742e-03
315	316	x	1.712489669e-03
315	343	y	8.437333742e-03
316	317	x	1.712489669e-03
316	344	y	8.437333742e-03
317	318	x	1.712489669e-03
317	345	y	8.437333742e-03
318	319	x	1.712489669e-03
318	346	y	8.437333742e-03
319	320	x	1.712489669e-03
319	347	y	8.437333742e-03
320	321	x	1.712489669e-03
320	348	y	8.437333742e-03
321	322	x	1.712489669e-03
321	349	y	8.437333742e-03
322	323	x	1.712489669e-03
322	350	y	8.437333742e-03
323	324	x	1.712489669e-03
323	351	y	8.437333742e-03
324	325	x	1.712489669e-03
324	352	y	8.437333742e-03
325	326	x	1.712489669e-03
325	353	y	8.437333742e-03
326	327	x	1.712489669e-03
326	354	y	8.437333742e-03
327	328	x	1.712489669e-03
327	355	y	8.437333742e-03
328	329	x	1.712489669e-03
328	356	y	8.437333742e-03
329	330	x	1.712489669e-03
329	357	y	8.437333742e-03
330	331	x	1.712489669e-03
330	358	y	8.437333742e-03
331	332	x	1.712489669e-03
331	359	y	8.437333742e-03
332	333	x	1.712489669e-03
332	360	y	8.437333742e-03
333	334	x	1.712489669e-03
333	361	y	8.437333742e-03
334	335	x	1.712489669e-03
334	362	y	8.437333742e-03
335	363	y	8.437333742e-03
336	337	x	1.712489669e-03
336	364	y	8.437333742e-03
337	338	x	1.712489669e-03
337	365	y	8.437333742e-03
338	339	x	1.712489669e-03
338	366	y	8.437333742e-03
339	340	x	1.712489669e-03
339	367	y	8.437333742e-03
