x_idx	y_idx	drop_pct	voltage_v
8	20	0.145362989	0.998546370
9	20	0.139719057	0.998602809
10	20	0.133257774	0.998667422
11	20	0.125967963	0.998740320
12	20	0.117843006	0.998821570
13	20	0.108250571	0.998917494
14	20	0.116403958	0.998835960
15	20	0.123700202	0.998762998
16	20	0.130110985	0.998698890
17	20	0.135626915	0.998643731
18	20	0.140247477	0.998597525
19	20	0.143977704	0.998560223
20	20	0.146828858	0.998531711
21	20	0.148823568	0.998511764
22	20	0.150008805	0.998499912
23	20	0.150338271	0.998496617
24	20	0.150514564	0.998494854
25	20	0.150533659	0.998494663
26	20	0.150389401	0.998496106
27	20	0.150282374	0.998497176
0	19	0.166396440	0.998336036
1	19	0.166355416	0.998336446
2	19	0.165624003	0.998343760
3	19	0.164219116	0.998357809
4	19	0.162137051	0.998378629
5	19	0.159372293	0.998406277
6	19	0.155917688	0.998440823
7	19	0.151764719	0.998482353
8	19	0.146904213	0.998530958
9	19	0.140945251	0.998590547
10	19	0.134153800	0.998658462
11	19	0.126535940	0.998734641
12	19	0.118118051	0.998818819
13	19	0.108504152	0.998914958
14	19	0.116943513	0.998830565
15	19	0.124344816	0.998756552
16	19	0.130752712	0.998692473
17	19	0.136202780	0.998637972
18	19	0.140710865	0.998592891
19	19	0.144278463	0.998557215
20	19	0.146891593	0.998531084
21	19	0.148512868	0.998514871
22	19	0.149234447	0.998507656
23	19	0.149450000	0.998505500
24	19	0.149588881	0.998504111
25	19	0.149600827	0.998503992
26	19	0.149453138	0.998505469
27	19	0.149354955	0.998506450
0	18	0.168023840	0.998319762
1	18	0.167955511	0.998320445
2	18	0.167168932	0.998328311
3	18	0.165680203	0.998343198
4	18	0.163484489	0.998365155
5	18	0.160575205	0.998394248
6	18	0.156943731	0.998430563
7	18	0.152579372	0.998474206
8	18	0.147469050	0.998525310
9	18	0.141213678	0.998587863
10	18	0.134062315	0.998659377
11	18	0.125986137	0.998740139
12	18	0.116940051	0.998830599
13	18	0.106864570	0.998931354
14	18	0.114964558	0.998850354
15	18	0.122127044	0.998778730
16	18	0.128357203	0.998716428
17	18	0.133663291	0.998663367
18	18	0.138051444	0.998619486
19	18	0.141524879	0.998584751
20	18	0.144084439	0.998559156
21	18	0.145731097	0.998542689
22	18	0.146556296	0.998534437
23	18	0.147116435	0.998528836
24	18	0.147466004	0.998525340
25	18	0.147631465	0.998523685
26	18	0.147629464	0.998523705
27	18	0.147603734	0.998523963
0	17	0.168586864	0.998314131
1	17	0.168498667	0.998315013
2	17	0.167672219	0.998323278
3	17	0.166123245	0.998338768
4	17	0.163846519	0.998361535
5	17	0.160834862	0.998391651
6	17	0.157079115	0.998429209
7	17	0.152567850	0.998474321
8	17	0.147287167	0.998527128
9	17	0.140837310	0.998591627
10	17	0.133467974	0.998665320
11	17	0.125155452	0.998748445
12	17	0.115872516	0.998841275
13	17	0.105610938	0.998943891
14	17	0.113369613	0.998866304
15	17	0.120259397	0.998797406
16	17	0.126271317	0.998737287
17	17	0.131403126	0.998685969
18	17	0.135655447	0.998643446
19	17	0.139030459	0.998609695
20	17	0.141531818	0.998584682
21	17	0.143165203	0.998568348
22	17	0.144022966	0.998559770
23	17	0.144658995	0.998553410
24	17	0.145088923	0.998549111
25	17	0.145326177	0.998546738
26	17	0.145380845	0.998546192
27	17	0.145385879	0.998546141
0	16	0.168183231	0.998318168
1	16	0.168083520	0.998319165
2	16	0.167234054	0.998327659
3	16	0.165650586	0.998343494
4	16	0.163327974	0.998366720
5	16	0.160259229	0.998397408
6	16	0.156435493	0.998435645
7	16	0.151845861	0.998481541
8	16	0.146477405	0.998535226
9	16	0.139931861	0.998600681
10	16	0.132461449	0.998675386
11	16	0.124046321	0.998759537
12	16	0.114664867	0.998853351
13	16	0.104320907	0.998956791
14	16	0.111819993	0.998881800
15	16	0.118473744	0.998815263
16	16	0.124278208	0.998757218
17	16	0.129232853	0.998707671
18	16	0.133338427	0.998666616
19	16	0.136597056	0.998634029
20	16	0.139012210	0.998609878
21	16	0.140589500	0.998594105
22	16	0.141420823	0.998585792
23	16	0.142055561	0.998579444
24	16	0.142500198	0.998574998
25	16	0.142759398	0.998572406
26	16	0.142835245	0.998571648
27	16	0.142852895	0.998571471
0	15	0.166869744	0.998331303
1	15	0.166766819	0.998332332
2	15	0.165911055	0.998340889
3	15	0.164318447	0.998356816
4	15	0.161984244	0.998380158
