id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
4710	1	metal5	600	402	0	0	0	0.999976
4711	1	metal5	610	402	0	0	0	0.999975
4712	1	metal5	620	402	0	0	0	0.99997
4713	1	metal5	630	402	0	0	0	0.999963
4714	1	metal5	640	402	0	0	0	0.999967
4715	1	metal5	650	402	0	0	0	0.999967
4716	1	metal5	660	402	0	0	0	0.999965
4717	1	metal5	670	402	0	0	0	0.999963
4718	1	metal5	680	402	0	0	0	0.999957
4719	1	metal5	690	402	0	0	0	0.99996
4720	1	metal5	700	402	0	0	0	0.999961
4721	1	metal5	710	402	0	0	0	0.99996
4722	1	metal5	720	402	0	0	0	0.999959
4723	1	metal5	730	402	0	0	0	0.999957
4724	1	metal5	740	402	0	0	0	0.999954
4725	1	metal5	750	402	0	0	0	0.999955
4726	1	metal5	760	402	0	0	0	0.999955
4727	1	metal5	770	402	0	0	0	0.999954
4728	1	metal5	780	402	0	0	0	0.999953
4729	1	metal5	790	402	0	0	0	0.999951
4730	1	metal5	800	402	0	0	0	0.999952
4731	1	metal5	810	402	0	0	0	0.999952
4732	1	metal5	820	402	0	0	0	0.999952
4733	1	metal5	830	402	0	0	0	0.999951
4734	1	metal5	840	402	0	0	0	0.99995
4735	1	metal5	850	402	0	0	0	0.999949
4736	1	metal5	860	402	0	0	0	0.99995
4737	1	metal5	870	402	0	0	0	0.99995
4738	1	metal5	880	402	0	0	0	0.99995
4739	1	metal5	890	402	0	0	0	0.999949
4740	1	metal5	900	402	0	0	0	0.999949
4741	1	metal5	910	402	0	0	0	0.999948
4742	1	metal5	920	402	0	0	0	0.999948
4743	1	metal5	930	402	0	0	0	0.999948
4744	1	metal5	940	402	0	0	0	0.999948
4745	1	metal5	950	402	0	0	0	0.999948
4746	1	metal5	960	402	0	0	0	0.999947
4747	1	metal5	970	402	0	0	0	0.999947
4748	1	metal5	980	402	0	0	0	0.999948
4749	1	metal5	990	402	0	0	0	0.999947
4750	1	metal5	1000	402	0	0	0	0.999947
4751	1	metal5	1010	402	0	0	0	0.999947
4752	1	metal5	1020	402	0	0	0	0.999946
4753	1	metal5	1030	402	0	0	0	0.999947
4754	1	metal5	1040	402	0	0	0	0.999947
4755	1	metal5	1050	402	0	0	0	0.999947
4756	1	metal5	1060	402	0	0	0	0.999947
4757	1	metal5	1070	402	0	0	0	0.999946
4758	1	metal5	1080	402	0	0	0	0.999947
4759	1	metal5	1090	402	0	0	0	0.999947
4760	1	metal5	10	412	0	0	0	0.999944
4761	1	metal5	20	412	0	0	0	0.999944
4762	1	metal5	30	412	0	0	0	0.999945
4763	1	metal5	40	412	0	0	0	0.999945
4764	1	metal5	50	412	0	0	0	0.999945
