# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
37.07	1074.025	36.605	1073.56	37.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	1064.025	36.605	1063.56	37.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	1054.025	36.605	1053.56	37.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	1044.025	36.605	1043.56	37.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	1034.025	36.605	1033.56	37.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	1024.025	36.605	1023.56	37.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	1074.025	26.605	1073.56	27.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	1064.025	26.605	1063.56	27.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	1054.025	26.605	1053.56	27.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	1044.025	26.605	1043.56	27.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
