net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	76.605	1053.56	77.535	1054.49	77.07	1054.025
VDD	POWER	via	?	76.605	1043.56	77.535	1044.49	77.07	1044.025
VDD	POWER	via	?	76.605	1033.56	77.535	1034.49	77.07	1034.025
VDD	POWER	via	?	76.605	1023.56	77.535	1024.49	77.07	1024.025
VDD	POWER	via	?	66.605	1073.56	67.535	1074.49	67.07	1074.025
VDD	POWER	via	?	66.605	1063.56	67.535	1064.49	67.07	1064.025
VDD	POWER	via	?	66.605	1053.56	67.535	1054.49	67.07	1054.025
VDD	POWER	via	?	66.605	1043.56	67.535	1044.49	67.07	1044.025
VDD	POWER	via	?	66.605	1033.56	67.535	1034.49	67.07	1034.025
VDD	POWER	via	?	66.605	1023.56	67.535	1024.49	67.07	1024.025
VDD	POWER	via	?	56.605	1073.56	57.535	1074.49	57.07	1074.025
VDD	POWER	via	?	56.605	1063.56	57.535	1064.49	57.07	1064.025
VDD	POWER	via	?	56.605	1053.56	57.535	1054.49	57.07	1054.025
VDD	POWER	via	?	56.605	1043.56	57.535	1044.49	57.07	1044.025
VDD	POWER	via	?	56.605	1033.56	57.535	1034.49	57.07	1034.025
VDD	POWER	via	?	56.605	1023.56	57.535	1024.49	57.07	1024.025
VDD	POWER	via	?	46.605	1073.56	47.535	1074.49	47.07	1074.025
VDD	POWER	via	?	46.605	1063.56	47.535	1064.49	47.07	1064.025
VDD	POWER	via	?	46.605	1053.56	47.535	1054.49	47.07	1054.025
VDD	POWER	via	?	46.605	1043.56	47.535	1044.49	47.07	1044.025
VDD	POWER	via	?	46.605	1033.56	47.535	1034.49	47.07	1034.025
VDD	POWER	via	?	46.605	1023.56	47.535	1024.49	47.07	1024.025
VDD	POWER	via	?	36.605	1073.56	37.535	1074.49	37.07	1074.025
VDD	POWER	via	?	36.605	1063.56	37.535	1064.49	37.07	1064.025
VDD	POWER	via	?	36.605	1053.56	37.535	1054.49	37.07	1054.025
VDD	POWER	via	?	36.605	1043.56	37.535	1044.49	37.07	1044.025
VDD	POWER	via	?	36.605	1033.56	37.535	1034.49	37.07	1034.025
VDD	POWER	via	?	36.605	1023.56	37.535	1024.49	37.07	1024.025
VDD	POWER	via	?	26.605	1073.56	27.535	1074.49	27.07	1074.025
